NAME	TITLE	SCORE	
STX17		44.5138	
FREM2		44.503	
HOMER3		44.4979	
YY1AP1		44.4544	
TANGO6		44.4451	
MAPRE3		44.441	
EIF3L		44.3497	
TSNAX		44.3245	
PSPC1		44.315	
METTL9		44.3007	
NUP88		44.2587	
SEC11A		44.2444	
PELP1		44.2127	
ZW10		44.1592	
SMAD4		44.1555	
TSPAN3		44.1482	
GPKOW		44.1214	
PACS2		44.1184	
PLEKHM2		44.1179	
PPP3R1		44.0847	
DDX46		44.0629	
BTF3		44.0472	
ATP1A2		44.0184	
FBXO34		44.003	
CEBPZ		43.9972	
MAB21L1		43.9936	
B3GALNT2		43.9928	
ARMC8		43.989	
ARIH1		43.9563	
ZNF197		43.9411	
HBS1L		43.94	
ST6GALNAC2		43.9303	
POPDC3		43.9144	
KLHL29		43.8932	
SGF29		43.8878	
CIZ1		43.8834	
CASC3		43.8694	
G3BP2		43.8609	
NEU3		43.8457	
YTHDF1		43.8266	
ANXA7		43.8114	
ARID1B		43.7929	
KANSL2		43.7818	
SH3BP5		43.7685	
ALDOA		43.7666	
NFATC1		43.7311	
SCNM1		43.6909	
HDGFL2		43.6658	
UBE2D2		43.6603	
DPH1		43.6457	
COPS3		43.6216	
NCOA1		43.6179	
EIF3E		43.5576	
OXSR1		43.4983	
MMP3		43.4811	
SLC6A20		43.4534	
EIF2D		43.4394	
NEPRO		43.4256	
USP14		43.3569	
DDI2		43.3537	
SHMT1		43.3496	
SMOC1		43.3421	
CERT1		43.3162	
INTS1		43.2457	
WAPL		43.1946	
ANKRD35		43.1934	
AP1G1		43.1912	
ABRAXAS1		43.1685	
DDB1		43.1278	
CDK5RAP2		43.1125	
AIMP1		43.0892	
FBXO31		43.0706	
RIPOR2		43.063	
CAB39		43.0551	
KCNT1		43.0357	
IGBP1		43.0312	
MME		43.0253	
TMEM97		43.0138	
PPIP5K1		42.9569	
RPS23		42.9439	
PSMC2		42.943	
ZYG11B		42.9335	
CAND2		42.8811	
MARK4		42.872	
ESCO1		42.8603	
MYO18A		42.839	
STRN3		42.829	
MAST2		42.8276	
PSMA7		42.7293	
KLF10		42.7288	
ARHGAP32		42.7008	
PPP3CA		42.6968	
TLE1		42.6613	
GPATCH2L		42.6484	
DHCR24		42.6154	
PRPF40A		42.6132	
BRAP		42.6053	
PSMD11		42.6028	
UBA1		42.5879	
PPP6R2		42.5872	
G3BP1		42.5632	
ZNF385B		42.5562	
CXCL14		42.554	
MYH3		42.5369	
PEX5L		42.5209	
C9orf78		42.5157	
USP38		42.5081	
NFE2L1		42.5043	
FOXO3		42.4699	
UBE3A		42.4694	
LNPK		42.4683	
FAF1		42.4592	
ABCF2		42.4047	
AMHR2		42.4006	
SPAST		42.3998	
HAT1		42.3696	
NFX1		42.3656	
VTA1		42.3642	
ANAPC5		42.3407	
CMYA5		42.3392	
RABEP1		42.3255	
CYSTM1		42.2725	
CRAT		42.2553	
GOLGA7B		42.2426	
RHOBTB1		42.1861	
IL17D		42.1727	
TAF4		42.1488	
ENSA		42.1461	
DCAF8		42.1461	
MAN2A1		42.1348	
PTPN14		42.0425	
